Source,Target
paper_2500,organization_2337
paper_2515,organization_646
paper_2528,organization_1009
paper_2528,organization_1478
paper_2528,organization_23
paper_2655,organization_2502
paper_2684,organization_30
paper_2684,organization_46
paper_2684,organization_26
paper_2684,organization_11
paper_2695,organization_11
paper_2695,organization_64
paper_2695,organization_846
paper_2695,organization_28
paper_2695,organization_2046
paper_2763,organization_11
paper_2763,organization_96
paper_2763,organization_2594
paper_2763,organization_35
paper_2840,organization_2642
paper_2878,organization_154
paper_2878,organization_2661
paper_2878,organization_2662
paper_2878,organization_2663
paper_2878,organization_876
paper_2878,organization_2664
paper_2878,organization_117
paper_2878,organization_1052
paper_2878,organization_2665
paper_2885,organization_2667
paper_2885,organization_2668
paper_2885,organization_1602
paper_2885,organization_2669
paper_2885,organization_1298
paper_2886,organization_86
paper_2886,organization_314
paper_2897,organization_1076
paper_2897,organization_601
paper_2897,organization_532
paper_2899,organization_122
paper_2901,organization_2679
paper_2901,organization_495
paper_2901,organization_2680
paper_2901,organization_2681
paper_2919,organization_410
paper_2942,organization_2726
paper_2942,organization_156
paper_2946,organization_9
paper_2946,organization_845
paper_2954,organization_26
paper_2954,organization_322
paper_2954,organization_646
paper_2971,organization_35
paper_2981,organization_44
paper_2981,organization_2745
paper_2981,organization_2746
paper_2992,organization_1009
paper_2992,organization_1032
paper_2992,organization_135
paper_3008,organization_469
paper_3008,organization_2766
paper_3008,organization_1632
paper_3008,organization_2767
paper_3008,organization_2768
paper_3008,organization_2769
paper_3009,organization_154
paper_3009,organization_2770
paper_3009,organization_2771
paper_3009,organization_2772
paper_3029,organization_209
paper_3029,organization_2789
paper_3029,organization_2790
paper_3034,organization_2796
paper_3034,organization_725
paper_3034,organization_2797
paper_3060,organization_86
paper_3060,organization_221
paper_3060,organization_2817
paper_3060,organization_769
paper_3060,organization_1979
paper_3067,organization_28
paper_3067,organization_2822
paper_3073,organization_2824
paper_3073,organization_179
paper_3073,organization_230
paper_3073,organization_2825
paper_3073,organization_640
paper_3079,organization_85
paper_3079,organization_117
paper_3079,organization_116
paper_3090,organization_2841
paper_3090,organization_2842
paper_3090,organization_2843
paper_3106,organization_695
paper_3106,organization_1866
paper_3106,organization_2859
paper_3149,organization_221
paper_3149,organization_610
paper_3149,organization_568
paper_3220,organization_2386
paper_3220,organization_2935
paper_3220,organization_35
paper_3228,organization_1722
paper_3228,organization_361
paper_3228,organization_1052
paper_3228,organization_532
paper_3228,organization_824
paper_3228,organization_1422
paper_3234,organization_2954
paper_3250,organization_2878
paper_3250,organization_2964
paper_3259,organization_2975
paper_3286,organization_3004
paper_3289,organization_28
paper_3289,organization_51
paper_3289,organization_278
paper_3309,organization_3020
paper_3309,organization_3021
paper_3309,organization_3022
paper_3309,organization_398
paper_3309,organization_3023
paper_3309,organization_3024
paper_3309,organization_3025
paper_3326,organization_52
paper_3326,organization_918
paper_3328,organization_1157
paper_3328,organization_278
paper_3328,organization_443
paper_3346,organization_387
paper_3346,organization_226
paper_3346,organization_116
paper_3348,organization_3052
paper_3348,organization_2177
paper_3348,organization_3053
paper_3348,organization_551
paper_3348,organization_62
paper_3350,organization_117
paper_3367,organization_124
paper_3367,organization_26
paper_3389,organization_48
paper_3389,organization_156
paper_3389,organization_36
paper_3397,organization_743
paper_3448,organization_3131
paper_3448,organization_3132
paper_3448,organization_3133
paper_3448,organization_3134
paper_3448,organization_3135
paper_3448,organization_3136
paper_3453,organization_48
paper_3453,organization_155
paper_3453,organization_3138
paper_3457,organization_682
paper_3457,organization_3141
paper_3457,organization_35
paper_3480,organization_759
paper_3480,organization_3157
paper_3480,organization_3158
paper_3480,organization_3159
paper_3481,organization_451
paper_3481,organization_226
paper_3481,organization_260
paper_3484,organization_3162
paper_3484,organization_3163
paper_3511,organization_27
paper_3511,organization_35
paper_3516,organization_28
paper_3516,organization_738
paper_3516,organization_763
paper_3517,organization_1071
paper_3517,organization_40
paper_3517,organization_36
paper_3519,organization_104
paper_3532,organization_3196
paper_3532,organization_107
paper_3581,organization_1765
paper_3595,organization_3257
paper_3595,organization_3258
paper_3610,organization_678
paper_3610,organization_3261
paper_3610,organization_910
paper_3613,organization_11
paper_3613,organization_494
paper_3613,organization_601
paper_3616,organization_565
paper_3616,organization_322
paper_3616,organization_119
paper_3618,organization_682
paper_3618,organization_15
paper_3664,organization_124
paper_3664,organization_12
paper_3692,organization_10
paper_3692,organization_124
paper_3692,organization_810
paper_3692,organization_3328
paper_3713,organization_3342
paper_3713,organization_46
paper_3713,organization_683
paper_3742,organization_336
paper_3746,organization_3367
paper_3746,organization_3368
paper_3746,organization_3369
paper_3754,organization_48
paper_3754,organization_46
paper_3754,organization_11
paper_3754,organization_194
paper_3757,organization_3316
paper_3757,organization_26
paper_3757,organization_448
paper_3757,organization_1617
paper_3757,organization_322
paper_3765,organization_46
paper_3765,organization_1193
paper_3765,organization_438
paper_3773,organization_3396
paper_3773,organization_3093
paper_3776,organization_46
paper_3776,organization_327
paper_3776,organization_3057
paper_3792,organization_46
paper_3792,organization_186
