paper_id,author_id
paper_117,author_728
paper_117,author_729
paper_118,author_730
paper_118,author_731
paper_118,author_732
paper_118,author_733
paper_119,author_734
paper_119,author_735
paper_119,author_736
paper_119,author_737
paper_120,author_463
paper_120,author_738
paper_120,author_739
paper_121,author_740
paper_121,author_741
paper_121,author_742
paper_121,author_743
paper_121,author_744
paper_122,author_526
paper_122,author_745
paper_122,author_528
paper_123,author_746
paper_123,author_747
paper_123,author_748
paper_123,author_408
paper_123,author_749
paper_123,author_410
paper_124,author_750
paper_124,author_751
paper_124,author_752
paper_124,author_753
paper_124,author_754
paper_124,author_755
paper_124,author_756
paper_124,author_757
paper_125,author_758
paper_125,author_535
paper_125,author_759
paper_125,author_760
paper_125,author_761
paper_125,author_762
paper_125,author_763
paper_125,author_764
paper_125,author_765
paper_125,author_766
paper_125,author_767
paper_125,author_768
paper_126,author_762
paper_126,author_764
paper_126,author_769
paper_126,author_535
paper_126,author_770
paper_126,author_771
paper_126,author_767
paper_126,author_766
paper_126,author_768
paper_127,author_772
paper_127,author_773
paper_127,author_774
paper_128,author_775
paper_128,author_776
paper_128,author_777
paper_128,author_778
paper_128,author_779
paper_129,author_780
paper_129,author_781
paper_130,author_782
paper_130,author_783
paper_130,author_784
paper_130,author_785
paper_130,author_786
paper_131,author_787
paper_131,author_788
paper_131,author_789
paper_131,author_790
paper_131,author_791
paper_131,author_792
paper_131,author_793
paper_131,author_794
paper_131,author_795
paper_132,author_796
paper_132,author_797
paper_133,author_798
paper_133,author_799
paper_133,author_800
paper_133,author_801
paper_133,author_802
paper_134,author_803
paper_134,author_804
paper_134,author_805
paper_134,author_806
paper_134,author_807
paper_134,author_808
paper_135,author_809
paper_135,author_810
paper_135,author_811
paper_135,author_812
paper_135,author_813
paper_135,author_814
paper_135,author_815
paper_135,author_816
paper_135,author_817
paper_135,author_818
paper_135,author_819
paper_135,author_820
paper_135,author_821
paper_136,author_822
paper_136,author_823
paper_136,author_824
paper_136,author_825
paper_136,author_826
paper_136,author_827
paper_136,author_828
paper_136,author_829
paper_137,author_830
paper_137,author_831
paper_137,author_832
paper_137,author_833
paper_137,author_834
paper_137,author_835
paper_137,author_836
paper_137,author_837
paper_137,author_838
paper_137,author_839
paper_137,author_840
paper_137,author_841
paper_137,author_842
paper_137,author_843
paper_137,author_844
paper_137,author_845
paper_137,author_846
paper_137,author_847
paper_137,author_848
paper_137,author_849
paper_137,author_850
paper_137,author_851
paper_137,author_852
paper_137,author_853
paper_138,author_854
paper_138,author_855
paper_138,author_856
paper_138,author_857
paper_138,author_858
paper_138,author_859
paper_138,author_860
paper_139,author_861
paper_139,author_862
paper_139,author_863
paper_139,author_864
paper_139,author_865
paper_140,author_866
paper_140,author_867
paper_140,author_868
